source,base,quote,instrument,url,at,raw_file,mid,spread_bps,levels,bid_1pct_usd,ask_1pct_usd,min_1pct_usd,complete_1pct,bid_2pct_usd,ask_2pct_usd,min_2pct_usd,complete_2pct,assessment,error,contract_base_units
BYBIT,WBTC,USDT,WBTC/USDT spot,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=WBTCUSDT&limit=200,2026-09-18T09:58:40.363840+00:00,book-BYBIT-WBTC-USDT.json,78179.70000000001,7.060656410807035,"[134, 142]",79470.84499777536,21595.766696801278,21595.766696801278,True,103278.56538328883,59400.92927661766,59400.92927661766,True,Thin,,
BYBIT,XAUT,USDT,XAUT/USDT spot,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=XAUTUSDT&limit=200,2026-09-18T09:58:55.612360+00:00,book-BYBIT-XAUT-USDT.json,4377.05,0.22846437669289543,"[200, 200]",972938.1520997767,829069.3957805377,829069.3957805377,False,972938.1520997767,829069.3957805377,829069.3957805377,False,Deeper,,
BYBIT,XMR,USDT,XMR/USDT spot,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=XMRUSDT&limit=200,2026-09-18T09:58:54.178254+00:00,book-BYBIT-XMR-USDT.json,,,,,,,,,,,,Unverified,Not supported symbols,
BYBIT,ZEC,USDT,ZEC/USDT spot,https://api.bybit.com/v5/market/orderbook?category=spot&symbol=ZECUSDT&limit=200,2026-09-18T09:58:54.092862+00:00,book-BYBIT-ZEC-USDT.json,,,,,,,,,,,,Unverified,Not supported symbols,
COINBASE,AAVE,USD,AAVE/USD spot,https://api.exchange.coinbase.com/products/AAVE-USD/book?level=2,2026-09-18T09:58:53.640398+00:00,book-COINBASE-AAVE-USD.json,135.3,5.912786400592203,"[1354, 2727]",385711.25346,371649.26574,371649.26574,True,416954.3119,452739.20396,416954.3119,True,Deeper,,
COINBASE,BTC,USD,BTC/USD spot,https://api.exchange.coinbase.com/products/BTC-USD/book?level=2,2026-09-18T09:58:48.767445+00:00,book-COINBASE-BTC-USD.json,78142.275,0.00127971702830015,"[21470, 20988]",15255037.450317163,13459937.226462761,13459937.226462761,True,19567997.17735817,17489589.583998825,17489589.583998825,True,Deeper,,
COINBASE,DAI,USD,DAI/USD spot,https://api.exchange.coinbase.com/products/DAI-USD/book?level=2,2026-09-18T09:58:47.813403+00:00,book-COINBASE-DAI-USD.json,,,,,,,,,,,,Unverified,"HTTP 404 {""message"":""NotFound""}",
COINBASE,DASH,USD,DASH/USD spot,https://api.exchange.coinbase.com/products/DASH-USD/book?level=2,2026-09-18T09:58:52.311226+00:00,book-COINBASE-DASH-USD.json,59.5,10.08403361344576,"[782, 1321]",303046.36114425317,84097.2975076976,84097.2975076976,True,333787.0186094169,91764.113034404,91764.113034404,True,Thin,,
COINBASE,ETH,USD,ETH/USD spot,https://api.exchange.coinbase.com/products/ETH-USD/book?level=2,2026-09-18T09:58:46.937169+00:00,book-COINBASE-ETH-USD.json,2505.96,0.5586681351670714,"[8015, 11404]",6871919.549254494,3223366.2434046175,3223366.2434046175,True,9066743.47785635,4713569.139957502,4713569.139957502,True,Deeper,,
COINBASE,LINK,USD,LINK/USD spot,https://api.exchange.coinbase.com/products/LINK-USD/book?level=2,2026-09-18T09:58:52.034144+00:00,book-COINBASE-LINK-USD.json,11.870000000000001,3.36983993260283,"[2423, 5307]",867556.8830500001,622477.10601,622477.10601,True,875613.59389,939002.8411099999,875613.59389,True,Deeper,,
COINBASE,MORPHO,USD,MORPHO/USD spot,https://api.exchange.coinbase.com/products/MORPHO-USD/book?level=2,2026-09-18T09:58:53.716710+00:00,book-COINBASE-MORPHO-USD.json,2.35345,9.772886613269748,"[933, 500]",69623.812627,56893.640393,56893.640393,True,138307.68983400002,59584.284105,59584.284105,True,Thin,,
COINBASE,PAXG,USD,PAXG/USD spot,https://api.exchange.coinbase.com/products/PAXG-USD/book?level=2,2026-09-18T09:58:51.825065+00:00,book-COINBASE-PAXG-USD.json,4370.415,2.4940423277884265,"[811, 410]",1626944.6065421,412839.38386299997,412839.38386299997,True,1646673.1204214,424457.8746185,424457.8746185,True,Deeper,,
COINBASE,UNI,USD,UNI/USD spot,https://api.exchange.coinbase.com/products/UNI-USD/book?level=2,2026-09-18T09:58:53.662620+00:00,book-COINBASE-UNI-USD.json,9.073450000000001,6.282064705265527,"[2325, 2425]",807338.4699784868,261226.5482955106,261226.5482955106,True,1014384.1508306009,329493.2882035499,329493.2882035499,True,Deeper,,
COINBASE,USDC,USD,USDC/USD spot,https://api.exchange.coinbase.com/products/USDC-USD/book?level=2,2026-09-18T09:58:46.322280+00:00,book-COINBASE-USDC-USD.json,,,,,,,,,,,,Unverified,"HTTP 404 {""message"":""NotFound""}",
